name,Price Per Unit,Price Per Measure,Promotion
Morrisons Plain Scones,Morrisons Plain Scones6 per pack,£1.59,26.5p each,
Morrisons Plain Tortillas,Morrisons Plain Tortillas61g,£1.09,£1.79 per 100g,
Morrisons Plain Tortilla Wrap,Morrisons Plain Tortilla Wrap8 per pack,£1.15,14.4p each,
Morrisons Rainbow Cupcakes,Morrisons Rainbow Cupcakes4 per pack,£2.49,62.3p each,
Morrisons Rainbow Sprinkles Celebration Cake Serves 16,Morrisons Rainbow Sprinkles Cel…,£13.99,,
Morrisons Raspberry Sponge Cake,Morrisons Raspberry Sponge Cake,£1.99,,
Morrisons Rocky Road Bar,Morrisons Rocky Road Bar50g,£1.25,£2.50 per 100g,Food To Go Meal Deal for £3.50
Morrisons Savers Choc Chip Cake Bars,Morrisons Savers Choc Chip Cake Bars5 per pack,65p,13p each,
Morrisons Savers Crumpets,Morrisons Savers Crumpets6 per pack,42p,7p each,
Morrisons Savers Raspberry Mini Rolls,Morrisons Savers Raspberry Mini Rolls6 per pack,55p,9.2p each,
Morrisons Savers Sultana Scones,Morrisons Savers Sultana Scones10 per pack,55p,5.5p each,
Morrisons Savers Wholemeal Loaf,Morrisons Savers Wholemeal Loaf720g,45p,6.3p per 100g,
Morrisons Scotch Pancakes  ,Morrisons Scotch Pancakes  8 per pack,79p,9.9p each,
Morrisons Scrumptious Sweeties Celebration Cake Serves 16,Morrisons Scrumptious Sweeties Ce…,£7.59,,
Morrisons Seeded Sliced Bloomer ,Morrisons Seeded Sliced Bloomer 400g,£1.29,32.3p per 100g,
Morrisons Sliced Brioche Loaf,Morrisons Sliced Brioche Loaf500g,£2.09,41.8p per 100g,
Morrisons Sliced Fruited Teacakes,Morrisons Sliced Fruited Teacakes6 per pack,£1,16.7p each,
Morrisons Sliced White Rolls,Morrisons Sliced White Rolls6 per pack,79p,13.2p each,
Morrisons Soft Fresh Egg Waffles ,Morrisons Soft Fresh Egg Waffles 12 per pack,£2.49,20.8p each,
Morrisons Soft White Bloomer,Morrisons Soft White Bloomer400g,£1.29,32.3p per 100g,
Morrisons Soft White Rolls,Morrisons Soft White Rolls6 per pack,89p,14.8p each,
