name,Price Per Unit,Price Per Measure,Promotion
Morrisons Free From Homestyle Chips ,Morrisons Free From Homestyle Chips 750g,£1.49,£1.99 per kg,
Morrisons Free From Honey Hoops Cereal,Morrisons Free From Honey Hoops Cereal300g,£1.75,58.3p per 100g,
Morrisons Free From Honey Nut Granola ,Morrisons Free From Honey Nut Granola 350g,£2.75,78.6p per 100g,
Morrisons Free From Ice Cream Strawberry,Morrisons Free From Ice Cream Strawberry480ml,£1.69,35.2p per 100ml,
Morrisons Free From Ice Cream Vanilla,Morrisons Free From Ice Cream Vanilla480ml,£1.69,35.2p per 100ml,
Morrisons Free From Jammy Wheels,Morrisons Free From Jammy Wheels142g,£1.69,£1.19 per 100g,
Morrisons Free From Lasagne Sheets,Morrisons Free From Lasagne Sheets250g,£1.25,£5.00 per kg,
Morrisons Free From Mac & Cheese,Morrisons Free From Mac & Cheese300g,£2.50,83.3p per 100g,
Morrisons Free From Macaroni Pasta,Morrisons Free From Macaroni Pasta500g,£1.19,£2.38 per kg,
Morrisons Free From Mature Cheddar ,Morrisons Free From Mature Cheddar 200g,£2.20,£1.10 per 100g,
Morrisons Free From Mild Cheddar,Morrisons Free From Mild Cheddar200g,£2.20,£11.00 per kg,
Morrisons Free From Milk Free Shortbread,Morrisons Free From Milk Free Shortbread160g,£1.69,£1.06 per 100g,
Morrisons Free From Mini Hash Browns,Morrisons Free From Mini Hash Browns750g,£1.70,£2.27 per kg,
Morrisons Free From Original Porridge ,Morrisons Free From Original Porridge 55g,89p,£1.62 per 100g,
Morrisons Free From Pancake Shaker,Morrisons Free From Pancake Shaker155g,£1.50,96.8p per 100g,
Morrisons Free From Pastry Mix ,Morrisons Free From Pastry Mix 150g,99p,66p per 100g,
Morrisons Free From Penne ,Morrisons Free From Penne 500g,£1.19,£2.38 per kg,
Morrisons Free From Pinata Cupcake Kit,Morrisons Free From Pinata Cupcake Kit300g,£2,66.7p per 100g,
Morrisons Free From Potato Gnocchi ,Morrisons Free From Potato Gnocchi 250g,£1.19,£4.76 per kg,
Morrisons Free From Raspberry Macaroon Slices,Morrisons Free From Raspb…160g,£1.75,£1.09 per 100g,
Morrisons Free From Red Berry Granola ,Morrisons Free From Red Berry Granola 350g,£2.75,78.6p per 100g,
Morrisons Free From Rice Pops ,Morrisons Free From Rice Pops 300g,£1.75,58.3p per 100g,
Morrisons Free From Scones,Morrisons Free From Scones2 per pack,£2.19,£1.10 each,
Morrisons Free From Seeded Loaf ,Morrisons Free From Seeded Loaf 535g,£1.89,35.3p per 100g,
Morrisons Free From Seeded Rolls,Morrisons Free From Seeded Rolls4 per pack,£1.75,43.8p each,
Morrisons Free From Smoked Cheddar ,Morrisons Free From Smoked Cheddar 200g,£2.20,£1.10 per 100g,
Morrisons Free From Spaghetti,Morrisons Free From Spaghetti500g,£1.19,£2.38 per kg,
Morrisons Free From Special Flakes ,Morrisons Free From Special Flakes 300g,£1.75,58.3p per 100g,
Morrisons Free From Spicy Chicken Pizza,Morrisons Free From Spicy Chicken Pizza250g,£2.35,£9.40 per kg,
Morrisons Free From Spring Cupcakes Rose,Morrisons Free From Spring Cupcakes Rose,£3.79,,
Morrisons Free From Strawberry Ice Cream Cones ,Morrisons Free From Straw…4 x 120ml,£2.75,57.3p per 100ml,
