name,Price Per Unit,Price Per Measure,Promotion
Dr Pepper,Dr Pepper6 x 250ml,£2,13.3p per 100ml,"Offer price £2, was £3.20"
Dr Pepper,Dr Pepper500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Dr Pepper Zero,Dr Pepper Zero2L,£1.99,10p per 100ml,Buy 2 for £3
Dr Pepper Zero,Dr Pepper Zero500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Dunn's River Nurishment Strawberry Milk,Dunn's River Nurishment Strawberry Milk400g,£1.49,£3.73 per kg,
Dunn's River Nurishment Vanilla Milk,Dunn's River Nurishment Vanilla Milk400g,£1.49,£3.73 per kg,
Emmi Caffe Latte Cappuccino,Emmi Caffe Latte Cappuccino230ml,£1.25,£5.43 per litre,"Offer price £1.25, was £1.85"
Emmi Caffe Latte Popcorn,Emmi Caffe Latte Popcorn230ml,£1.25,54.3p per 100ml,"Offer price £1.25, was £1.85"
Emmi Caffe Latte Skinny,Emmi Caffe Latte Skinny230ml,£1.25,£5.43 per litre,"Offer price £1.25, was £1.85"
evian Natural Mineral Water,evian Natural Mineral Water6 x 50cl,£2.65,8.8p per 100ml,
evian Natural Mineral Water,evian Natural Mineral Water6 x 1.5L,£5,5.6p per 100ml,
evian Natural Mineral Water,evian Natural Mineral Water500ml,90p,18p per 100ml,
evian Natural Mineral Water ,evian Natural Mineral Water 1.5L,£1.20,8p per 100ml,
evian Natural Mineral Water Sports cap,evian Natural Mineral Water Sports cap4 x 75cl,£3.20,10.7p per 100ml,
evian Natural Mineral Water Sports Cap,evian Natural Mineral Water Sports Cap750ml,£1.25,16.7p per 100ml,
Evian Sparkling Water Can,Evian Sparkling Water Can330ml,80p,24.2p per 100ml,
Fanta Fruit Twist,Fanta Fruit Twist2L,£1.99,10p per 100ml,Buy 2 for £3
Fanta Fruit Twist ,Fanta Fruit Twist 500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Fanta Fruit Twist Zero,Fanta Fruit Twist Zero2L,£1.99,10p per 100ml,Buy 2 for £3
Fanta Lemon,Fanta Lemon2L,£1.99,10p per 100ml,Buy 2 for £3
Fanta Orange ,Fanta Orange 2L,£1.99,10p per 100ml,Buy 2 for £3
Fanta Orange ,Fanta Orange 4 x 330ml,£2.50,18.9p per 100ml,
Fanta Orange ,Fanta Orange 8 x 330ml,£3.50,13.3p per 100ml,
Fanta Orange ,Fanta Orange 18 x 330ml,£6.50,10.9p per 100ml,"Offer price £6.50, was £7.50"
Fanta Orange,Fanta Orange6 x 250ml,£2,13.3p per 100ml,"Offer price £2, was £3.20"
Fanta Orange,Fanta Orange500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Fanta Orange Zero,Fanta Orange Zero2L,£1.99,10p per 100ml,Buy 2 for £3
Fanta Orange Zero ,Fanta Orange Zero 8 x 330ml,£3.50,13.3p per 100ml,
Fanta Orange Zero ,Fanta Orange Zero 500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Fanta Pineapple & Grapefruit,Fanta Pineapple & Grapefruit500ml,£1.79,35.8p per 100ml,Buy 2 for £2.50
Fanta Pineapple & Grapefruit Zero Sugar,Fanta Pineapple & Grapefruit Zero Sugar2L,£1.99,10p per 100ml,Buy 2 for £3
Fanta Where The Fanta Zero,Fanta Where The Fanta Zero2L,£1.99,10p per 100ml,Buy 2 for £3
Feel Good Drinks Peach & Passionfruit Fruitful Sparkling Water ,Feel Good Drinks Peach & Passionfruit…4 x 330ml,£1.50,11.4p per 100ml,"Offer price £1.50, was £3.50"
