name,Price Per Unit,Price Per Measure,Promotion
Morrisons Ready To Eat Kiwi Fruit,Morrisons Ready To Eat Kiwi Fruit4 per pack,£1.19,29.8p each,"Offer price £1.19, was £1.49"
Morrisons Ready To Eat Loose Mango,Morrisons Ready To Eat Loose Mango,85p,,
Morrisons Ready To Eat Plums,Morrisons Ready To Eat Plums,£1.79,,
Morrisons Ready To Eat Qtee Pears ,Morrisons Ready To Eat Qtee Pears 4 per pack,£1.79,44.8p each,
Morrisons Ready To Eat White Flesh Nectarines,Morrisons Ready To Eat White Flesh Nectarines4 per pack,£2.25,56.3p each,
Morrisons Ready to Eat Yellow Flesh Nectarines,Morrisons Ready to Eat Yellow Flesh Nectarines4 per pack,£2.25,56.3p each,
Morrisons Red Cabbage 450-1350g,Morrisons Red Cabbage 450-1350g,65p,,
Morrisons Red Chillies ,Morrisons Red Chillies 50g,59p,£11.80 per kg,
Morrisons Red Grapes ,Morrisons Red Grapes 170g,£1.15,67.6p per 100g,
Morrisons Red Onions ,Morrisons Red Onions 1kg,99p,99p per kg,
Morrisons Red Peppers,Morrisons Red Peppers3 per pack,£1.80,60p each,
Morrisons Red Potatoes ,Morrisons Red Potatoes 2.5kg,£1.89,75.6p per kg,
Morrisons Redskin Peanuts   ,Morrisons Redskin Peanuts   400g,£1.59,39.8p per 100g,Buy 2 for £2.50
Morrisons Rhubarb ,Morrisons Rhubarb 400g,£2.69,£6.73 per kg,
Morrisons Rice Noodles,Morrisons Rice Noodles225g,£1.49,66.2p per 100g,Buy 3 for £2.50
Morrisons Ripe & Ready Conference Pears,Morrisons Ripe & Ready Conference Pears4 per pack,£1.89,47.3p each,Buy 3 for the Price of 2
Morrisons Ripe & Ready To Eat Mango,Morrisons Ripe & Ready To Eat Mango2 per pack,£1.69,84.5p each,
Morrisons Ripe And Ready Bananas,Morrisons Ripe And Ready Bananas5 per pack,99p,19.8p each,
Morrisons Ripen At Home Bananas,Morrisons Ripen At Home Bananas5 per pack,99p,19.8p each,
Morrisons Roasted & Salted Cashew & Peanuts,Morrisons Roasted & Salted Cashew & Peanuts65g,99p,£1.52 per 100g,Buy 2 for £1.50
Morrisons Roasted Monkey Nuts ,Morrisons Roasted Monkey Nuts 200g,99p,49.5p per 100g,Buy 2 for £1.50
Morrisons Rocket & Baby Leaf Salad,Morrisons Rocket & Baby Leaf Salad60g,89p,£1.48 per 100g,Buy 2 for £1
Morrisons Romaine Lettuce Hearts ,Morrisons Romaine Lettuce Hearts 2 per pack,£1.09,54.5p each,
Morrisons Round Lettuce ,Morrisons Round Lettuce ,58p,,"Offer price 58p, was 69p"
Morrisons Royal Gala Apples,Morrisons Royal Gala Apples6 per pack,£1.69,28.2p each,
Morrisons Salad Cress ,Morrisons Salad Cress ,39p,,
Morrisons Salad Onions (minimum 100g),Morrisons Salad Onions (minimum 100g),50p,,
Morrisons Salad Tomatoes,Morrisons Salad Tomatoes,99p,,
Morrisons Salted Pistachios,Morrisons Salted Pistachios260g,£3.15,£1.21 per 100g,
Morrisons Samphire,Morrisons Samphire70g,£1.25,£17.86 per kg,
Morrisons Savers Avocado,Morrisons Savers Avocado3 per pack,99p,33p each,
Morrisons Savers Easy Peelers,Morrisons Savers Easy Peelers600g,99p,16.5p per 100g,
Morrisons Savers Green Beans,Morrisons Savers Green Beans200g,77p,38.5p per 100g,
Morrisons Savers Salad Peppers,Morrisons Savers Salad Peppers3 per pack,£1.35,45p each,
Morrisons Savoy Cabbage,Morrisons Savoy Cabbage,19p,,"Offer price 19p, was 65p"
Morrisons Scotch Bonnet Chillies ,Morrisons Scotch Bonnet Chillies 50g,99p,£19.80 per kg,
Morrisons Seedless Black Grapes,Morrisons Seedless Black Grapes400g,£1.69,£4.23 per kg,"Offer price £1.69, was £1.99"
Morrisons Seedless Grape Selection,Morrisons Seedless Grape Selection800g,£2.75,£3.44 per kg,
Morrisons Seedless Grape Selection,Morrisons Seedless Grape Selection400g,£1.99,49.8p per 100g,Buy 3 for the Price of 2
