name,Price Per Unit,Price Per Measure,Promotion
Cadbury Caramilk Ice Creams,Cadbury Caramilk Ice Creams4 x 90ml,£3.49,96.9p per 100ml,Buy 2 for £5
Cadbury Choc Top Ice Cream Cones,Cadbury Choc Top Ice Cream Cones4 x 100ml,£3.99,99.8p per 100ml,
Cadbury Crunchie Blast Ice Cream Stick,Cadbury Crunchie Blast Ice Cream Stick4 x 100ml,£2.50,62.5p per 100ml,"Offer price £2.50, was £3.49"
Cadbury Dairy Milk Buttons Ice Cream Cones,Cadbury Dairy Milk Buttons Ice Cream Cones4 x 100ml,£2.49,62.3p per 100ml,Buy 2 for £4
Cadbury Dairy Milk Caramel Ice Cream Cones,Cadbury Dairy Milk Caramel Ice Cream Cones4 x 100ml,£2.49,62.3p per 100ml,Buy 2 for £4
Cadbury Dairy Milk Chocolate Brownie,Cadbury Dairy Milk Chocolate Brownie400g,£3.79,94.8p per 100g,
Cadbury Dairy Milk Chocolate Ice Cream Tops,Cadbury Dairy Milk Chocolate Ice Cream Tops4 x 110ml,£3.99,90.7p per 100ml,
Cadbury Dairy Milk Ice Cream Stick,Cadbury Dairy Milk Ice Cream Stick4 x 100ml,£2.50,62.5p per 100ml,"Offer price £2.50, was £3.49"
Cadbury Flake 99 Ice Cream Cones,Cadbury Flake 99 Ice Cream Cones4 x 125ml,£3.50,70p per 100ml,"Offer price £3.50, was £3.99"
Cadbury Flake Ice Cream Tub,Cadbury Flake Ice Cream Tub480ml,£3.29,68.5p per 100ml,Buy 2 for £5
Calippo Cola Ice Lollies,Calippo Cola Ice Lollies5 x 80ml,£2.29,57.3p per 100ml,Buy 2 for £4
Calippo Mini Orange & Lime Ice Lollies,Calippo Mini Orange & Lime Ice Lollies5 x 80ml,£2.29,57.3p per 100ml,Buy 2 for £4
Carte D'or Indulgent Chocolate Ice Cream Tub ,Carte D'or Indulgent Chocolate Ice Cream Tub 900ml,£3.69,41p per 100ml,
Carte D'or Madagascan Vanilla Ice Cream Tub,Carte D'or Madagascan Vanilla Ice Cream Tub900ml,£3.69,41p per 100ml,
Carte D'or Madigascan Vanilla Light Ice Cream Tub,Carte D'or Madigascan Vanil…900ml,£3.69,41p per 100ml,
Carte D'or Salted Caramel Ice Cream Tub ,Carte D'or Salted Caramel Ice Cream Tub 900ml,£3.69,41p per 100ml,
Carte D'or Strawberry Ice Cream Tub,Carte D'or Strawberry Ice Cream Tub900ml,£3.69,41p per 100ml,
Carte D'Or Vanilla & Cinnamon Biscuit Ice Cream ,Carte D'Or Vanilla & Cinnam…900ml,£3.69,41p per 100ml,
Chicago Town Cheese Pizza Cheesy Stuffed Crust Takeaway,Chicago Town Cheese Pizza Chees…630g,£4.99,£7.92 per kg,
